,编号,地址,潮汐规律,车流高峰,流入高峰,流出高峰,本地车(辆),外地车(辆),本地车占比,外地车占比
0,10119112210362202000,嘉兴南站停车场,无,无,6:00-09:00,16:00-18:00,597,436,percent: 57.79%,percent: 42.21%
1,10119123017444502000,烟厂停车场,无,无,6:00-09:00,16:00-18:00,6,5,percent: 54.55%,percent: 45.45%
2,10119123017473402000,米厂(停车场),无,无,6:00-09:00,16:00-18:00,50,215,percent: 18.87%,percent: 81.13%
3,10119123116223701000,隆源路海鸥电器厂停车场,无,无,6:00-09:00,16:00-18:00,1020,142,percent: 87.78%,percent: 12.22%
4,10120102217415601000,武原街道海北路停车场,无,无,6:00-09:00,16:00-18:00,43,10,percent: 81.13%,percent: 18.87%
5,10120102309534802000,嘉兴博尔玛,无,无,6:00-09:00,16:00-18:00,4170,1296,percent: 76.29%,percent: 23.71%
6,10120102314082701000,武原街道木材市场停车场,无,无,6:00-09:00,16:00-18:00,485,71,percent: 87.23%,percent: 12.77%
7,10120110413322101000,博尔玛A,无,无,6:00-09:00,16:00-18:00,4066,1416,percent: 74.17%,percent: 25.83%
8,10120120313422202000,华星村停车场,无,无,6:00-09:00,16:00-18:00,76,0,percent: 100.00%,percent: 0.00%
